filename|text
segment_625.wav|― Արևս մեռնի, Բերտ, նայիր, էս ում եմ ճանկել, ― ասաց Վիլյամը
segment_626.wav|― Էդ ի՞նչ բան է,― հարցրին Բերտն ու Թոմը՝ նրան մոտենալով ես
segment_627.wav|ինչ իմանամ
segment_628.wav|Դու ի՞նչ ես
segment_629.wav|― Ե՞ս… Բիլբո Բեգինսն եմ, վզզ֊հոբիտ,― պատասխանեց խեղճ Բիլբոն, ամբողջ մարմնով դողալով և փորձելով կռահել, թե ինչպես բվի պես կռնչա, քանի դեռ իրեն չեն խեղդել
segment_630.wav|― Վզզհոբի՞տ,― կրկնեցին տրոլները զգուշանալով
segment_631.wav|Տրոլները մտքից խեղճ են, այդ պատճառով էլ ամեն անծանոթ բանի կասկածանքով են վերաբերվում
segment_632.wav|― Իսկ վզզհոբիտն ի՞նչ գործ ուներ իմ գրպանում,― նկատեց Վիլյամը
segment_633.wav|― Իսկ նրանից կարելի՞ է ճաշ պատրաստել, ― հետաքրքրվեց Թոմը
segment_634.wav|― Փորձիր՝ կիմանաս,― պատասխանեց Բերտը՝ շամփուրը վերցնելով
segment_635.wav|― Կաշին թե հանենք, մի կծելու միս հազիվ մնա,― խոսեց Վիլյամը, որը հենց նոր էր կուշտ ընթրել
segment_636.wav|― Գուցե ման գանք, էստեղ դրանցից էլի՞ գտնենք
segment_637.wav|Կարկանդակ կթխեինք,― ասաց Բերտը ― Հե՜յ
segment_638.wav|Քեզ նմանները շա՞տ են էս անտառում
segment_639.wav|Քոսոտ ճագար,― ավելացրեց նա հոբիտի փրչոտ ոտքերին նայելով
segment_640.wav|Տրոլը բռնեց Բիլբոյի ոտքերից և ուժգին թափ տվեց
segment_641.wav|― Շա՜տ,― ծղրտաց Բիլբոն և այդ ժամանակ միայն գլխի ընկավ, որ բարեկամներին մատնել չի կարելի ― Ո՛չ, ոչ՛
segment_642.wav|Ո՛չ մեկը, ― արագ ավելացրեց նա
segment_643.wav|― Էդ ո՞նց հասկանալ,― հարցրեց Բերտը՝ Բիլբոյին օդում բռնած, բայց այս անգամ մազերից
segment_644.wav|― Այդպես էլ հասկացեք,― պատասխանեց Բիլբոն շունչ քաշելով
segment_645.wav|― Խնդրում եմ, բարի պարոններ, ինձնից ոչինչ մի՛ պատրաստեք
segment_646.wav|Ես ինքս լավ եմ պատրաստում, ես ավելի լավ եմ պատրաստում, քան պատրաստվում, հասկանո՞ւմ եք ինչ եմ ուզում ասել
